id,Macroeconomic Forecasting and Cyclical Outlook,Monetary Policy Analysis and Transmission,Labor Market and Demographic Analysis,Human Capital and Education Economics,Public Finance and Budgetary Policy,Industrial Organization and Regional Structure,Systemic Risk and Macroprudential Frameworks,Banking Sector and Intermediary Analysis,Financial Market Dynamics and Asset Pricing,Global Macroeconomics and Spillovers,International Trade and Global Value Chains,International Cooperation and Financial Fora,Micro-level Socio-Economic Surveys,Institutional Sector Accounts and Balance of Payments,Statistical Data Collection and Ingestion,Central Credit Register Operations,None of the above,best_label,word_count,title
13,2.439358707743033e-05,1.0945035396012855e-13,5.13426205665831e-10,3.624584499095975e-07,2.4147824253630747e-05,2.4187771674692684e-21,3.0444252058707914e-13,7.37212716365622e-11,1.4167777366731771e-21,2.1540728157613432e-13,2.1063086179276404e-18,8.630431919885425e-18,3.344017787644088e-23,6.625681935869385e-19,6.596373338990674e-17,4.308145905582634e-17,0.9999510955424421,None of the above,184,"Building economic legality: institutions, reforms, technology (only in Italian)"
14,1.3507645086638037e-05,8.034069955022159e-17,6.609433529425821e-11,2.2049303078752527e-07,1.1221167521630716e-20,7.237455871202624e-24,3.368646544247993e-12,1.7955542990961158e-05,2.705323367201627e-24,1.5395413546119498e-13,9.141131944619296e-22,2.4892719495108273e-25,2.1872536970559713e-23,2.1470774178356896e-24,1.748614105440285e-16,1.1116501111940267e-17,0.9999683162492743,None of the above,415,"Building economic legality: institutions, reforms, technology (only in Italian)"
15,8.867294404901733e-08,4.876082041323576e-19,3.2743566372131208e-06,1.0162541758438141e-05,6.545464159850914e-13,8.305624445456174e-29,0.9998068205067516,5.20573976951869e-07,2.4185154359072138e-20,1.1937396839984784e-07,4.661781839989931e-25,9.83530690177931e-25,5.496707252704649e-06,3.2252793685219427e-25,2.418194334445267e-24,3.279716450623214e-16,0.00017351726605606977,Systemic Risk and Macroprudential Frameworks,492,"Building economic legality: institutions, reforms, technology (only in Italian)"
16,9.89322950962078e-10,2.960851115939685e-07,6.004847084820311e-06,4.314221140897384e-07,0.9999859995733132,5.954707730643289e-06,1.854031794147476e-13,2.2634311070312102e-18,5.902237873579012e-26,7.994508999980796e-08,5.213468491090294e-08,3.899512930957321e-07,7.90339071853769e-07,1.6757073505973995e-25,7.068488080591321e-17,6.282379630838931e-18,4.9974710612026204e-12,Public Finance and Budgetary Policy,1990,"Building economic legality: institutions, reforms, technology (only in Italian)"
17,3.6275607433978613e-06,4.074593565348319e-18,1.3704778508768162e-05,6.528435715454846e-07,0.9999501009848075,2.928484015875321e-05,9.628948840067124e-19,4.4480202074330616e-11,7.729860279395915e-24,1.4558194585768965e-07,3.6686224798022177e-23,6.854960896800206e-24,2.4833350068919513e-06,4.287065515868929e-24,1.0957502398873368e-21,2.072255283707899e-21,3.0777170271014054e-11,Public Finance and Budgetary Policy,1748,"Building economic legality: institutions, reforms, technology (only in Italian)"
19,2.393824747804228e-05,3.2994640482208688e-18,2.74141026855056e-07,3.3493192090539974e-07,9.019343162401707e-14,8.73745767804916e-30,1.9591284558197369e-19,6.38819272361034e-12,6.1558715612172116e-24,7.157194764164554e-14,1.0322689249916639e-14,1.9955940649531842e-13,6.648719586835139e-07,1.5873041473463438e-24,1.680851452591149e-23,1.5034978206500367e-22,0.9999747878008557,None of the above,419,Money and Trust: From the Renaissance to the Digital Age
20,3.1335639168049485e-06,1.1720071127545068e-17,4.966766772503957e-07,2.6592332819736036e-07,9.832137393769391e-08,3.7921982934032835e-31,1.6810521967784445e-07,2.3356284776891773e-13,1.5601064479036899e-22,1.512489923221896e-14,1.30250941998719e-26,6.173872054719836e-27,1.827055803623655e-07,1.5758167318525535e-23,2.08430596552676e-24,2.2246984588897925e-21,0.9999956547036551,None of the above,189,Money and Trust: From the Renaissance to the Digital Age
21,8.239287968502925e-06,1.33875308052164e-18,2.5789648524051724e-07,7.136879697081444e-07,7.347055058175049e-13,4.9381204395725624e-23,2.6133859455922046e-12,1.697477998605275e-12,1.5443965616696653e-20,7.947881087701632e-19,5.58175263709417e-24,1.4120812237996108e-23,7.261207592736222e-07,1.0375550789516319e-11,5.351414078282973e-23,3.3085146597716273e-21,0.9999900629913961,None of the above,467,Money and Trust: From the Renaissance to the Digital Age
22,5.153744038569712e-06,0.9996925503300151,1.130172103043248e-05,9.594499863722565e-08,5.948719341733467e-07,2.4508690799505885e-18,1.4868690134311203e-06,7.003398572973302e-07,4.011779810404621e-05,6.503050143429493e-20,1.4864057477986416e-18,4.3887798725487885e-23,2.8026166890756463e-06,1.7281124043632795e-07,1.3430668190690522e-22,7.838572740407531e-08,0.00024494456735177426,Monetary Policy Analysis and Transmission,230,Money and Trust: From the Renaissance to the Digital Age
23,4.226438240693319e-05,0.9995260684318181,1.7463089172164853e-05,2.4242791183389576e-07,2.3351561849504776e-12,1.6418540238381991e-24,3.8158368141492085e-18,5.0279996657652e-07,6.524008677239759e-12,1.3666008967743828e-13,1.1638812181527142e-14,2.783273076901038e-13,6.549417419757792e-06,4.865213230654673e-07,3.399908507361865e-17,6.256570330417258e-07,0.0004057972636627348,Monetary Policy Analysis and Transmission,1451,Money and Trust: From the Renaissance to the Digital Age
24,1.806498805804405e-05,7.597584741640157e-06,2.848756514056096e-07,1.768999398048036e-07,1.0473863299617355e-23,4.525072002213292e-27,1.907959902274387e-13,5.246361021220976e-07,2.044528045126962e-20,2.146117616694672e-08,4.583601190644916e-24,2.8153309726264916e-24,7.143246390341507e-07,4.1303429465740184e-20,5.34333994180545e-18,4.974637860221673e-16,0.9999726152295004,None of the above,1225,Money and Trust: From the Renaissance to the Digital Age
26,2.63687304286804e-11,1.3124833269151331e-06,5.388577221940904e-06,1.3022661080400326e-06,0.9999609773286886,5.285982748597828e-07,6.766942766024759e-13,1.0241453058085193e-07,5.1907617677660445e-22,1.688808983866257e-13,5.358149399804823e-08,8.7652177188329e-13,1.0345310281658396e-06,7.505841380442168e-25,8.108729929966108e-30,1.901124453574721e-07,2.91100787907325e-05,Public Finance and Budgetary Policy,811,Address by Governor Fabio Panetta to the 2025 World Savings Day
27,0.9997200376117209,9.777412847581602e-07,3.0188682890987806e-06,3.766755751230868e-07,7.052342815437702e-07,2.9146098500731734e-06,1.8446282053851378e-15,7.990796555683839e-21,4.77126733910656e-20,6.039039613922684e-19,3.0486147792830174e-07,6.633150503897097e-07,3.690976659321463e-06,3.691778147345236e-23,2.003466637287683e-17,5.54403810160918e-21,0.00026731010580918486,Macroeconomic Forecasting and Cyclical Outlook,398,Address by Governor Fabio Panetta to the 2025 World Savings Day
28,1.5186559481328728e-06,5.239840762019944e-19,1.6359344715288764e-06,2.45269161148155e-07,1.649935858435946e-07,4.76840856179582e-11,1.9291808158149654e-17,1.4668669447364915e-11,2.0992886430500912e-22,1.5404360230838973e-12,0.999979992651427,8.535700922009647e-19,1.96324848259946e-25,1.9709310706909008e-23,2.30103859318407e-30,7.181061576471868e-21,1.644243151319594e-05,International Trade and Global Value Chains,373,Address by Governor Fabio Panetta to the 2025 World Savings Day
29,1.7142211394141696e-09,1.1416475001116317e-06,4.526785266177464e-05,5.198707774930299e-07,3.440308382000054e-07,1.0442755939662032e-05,3.925011130762912e-06,0.9998951823982333,5.173107572424141e-06,4.800061407123619e-20,1.968373442109214e-19,1.908830080160558e-19,5.1447263330020665e-06,3.4974529193560385e-22,7.594797690469502e-17,1.3397167024811833e-22,3.2856884792202855e-05,Banking Sector and Intermediary Analysis,688,Address by Governor Fabio Panetta to the 2025 World Savings Day
30,9.30244142664761e-06,0.9999772553987136,9.078791688156247e-06,1.9942279764627945e-07,3.868265905997696e-13,3.0529087725245704e-16,7.883925661330418e-13,6.574618034215049e-07,1.4729429472883573e-11,4.0494000043312186e-14,9.957398188346103e-09,5.480243896895725e-13,3.122670478731744e-06,2.3433167828135354e-07,2.8250610535618396e-22,1.3947842016139235e-07,2.9101667461688873e-11,Monetary Policy Analysis and Transmission,821,Address by Governor Fabio Panetta to the 2025 World Savings Day
31,0.0007009222686846018,4.395088442111172e-20,5.739473212513335e-07,1.271232393908809e-06,1.065500412032036e-06,5.0568842367084365e-30,1.1226007761628914e-18,4.7609232208955634e-12,4.069119161544671e-24,1.5328500453791095e-07,1.0147042376355965e-24,7.938180584590607e-25,4.093108538556129e-19,4.510065347399328e-26,9.93125777099373e-18,7.506505869815289e-17,0.9992960137614226,None of the above,1102,Address by Governor Fabio Panetta to the 2025 World Savings Day
32,0.9975337082846261,5.694037872236685e-20,3.0851233434794333e-06,2.3269578784779626e-20,6.65343401038563e-06,1.6891327001176903e-29,1.9750864714873405e-56,4.851693604889065e-11,1.4212505853335123e-55,4.244561291473885e-19,3.6775513787788427e-06,4.7058538474661483e-07,5.32436775738169e-06,4.338613973759438e-25,1.7397933215639147e-57,9.922655576468875e-16,0.0024470806049812495,Macroeconomic Forecasting and Cyclical Outlook,911,Address by Governor Fabio Panetta to the 2025 World Savings Day
35,9.426795392369865e-11,3.059177026183283e-07,1.6397995498942665e-05,3.3533870062780275e-07,2.2209503293021072e-17,1.2211112725302823e-06,9.35605080138699e-13,0.9999757946288299,1.1269272606194675e-06,7.737301775073317e-14,6.831060241119688e-20,1.7996414856910656e-19,9.210863790629153e-07,2.231970750314351e-19,5.7092201308857086e-24,3.3438205916928604e-19,3.896899074778645e-06,Banking Sector and Intermediary Analysis,336,Solidarity and Cooperation: From Local Communities to Global Stability
36,8.998754541759239e-07,2.422193870117999e-19,9.197366757726898e-08,2.5142017130973787e-07,2.2105185375202833e-06,1.4814515040475494e-06,3.8943227091992855e-21,3.119927013563727e-11,1.5574071556329283e-07,5.326741457200026e-13,8.673289568125318e-20,0.9999946362731819,2.727063698238889e-07,4.660446948704286e-18,3.62306167431621e-18,2.4967917533639217e-20,8.666205695333076e-12,International Cooperation and Financial Fora,806,Solidarity and Cooperation: From Local Communities to Global Stability
37,8.894948702622664e-06,8.874258087795342e-19,1.5201164582773527e-06,4.3842669011308933e-07,3.115738707499041e-07,6.022531633961502e-06,1.0953643228031316e-18,1.0451557814378735e-08,3.956079590164193e-07,2.8118773010231886e-06,9.489947296794604e-16,0.9996852015889427,1.2089177046973606e-19,9.161881243723616e-23,7.585854345611945e-18,4.4035684708455853e-16,0.0002943928768824709,International Cooperation and Financial Fora,448,Solidarity and Cooperation: From Local Communities to Global Stability
38,7.661132107076237e-10,6.155680282745257e-19,6.302608660213222e-05,1.6018673943315318e-06,1.514770729032071e-06,4.105612906497006e-06,3.508520877629437e-06,0.9997030854105381,7.6218737520711325e-06,6.854264231983112e-19,4.88066200587192e-08,4.759432789855385e-06,5.098491174464475e-06,2.687747066355144e-24,4.179382670813831e-17,6.167806310880995e-21,0.0002056283605026169,Banking Sector and Intermediary Analysis,300,Solidarity and Cooperation: From Local Communities to Global Stability
40,1.1214984312629708e-14,6.998420212733336e-19,9.666377271681442e-07,6.398079462310853e-07,4.9398798253128e-07,4.2433967728753667e-29,3.6594703952740234e-20,9.609307831749833e-12,1.6075090336592614e-12,0.999977296097785,3.5236516619496393e-11,2.330158590998325e-06,8.491681053829937e-07,1.413651307090491e-25,5.3576213845845815e-18,1.055111407200392e-07,1.7318584257176537e-05,Global Macroeconomics and Spillovers,1638,Finance and innovation for the future of the economy
41,2.598204962652447e-05,2.1708688138915353e-06,2.4667663827523068e-06,7.897456226124932e-07,2.2769964344340926e-07,1.2843855382873488e-05,1.6374133240028757e-12,2.5720590962443997e-06,0.9999364494397894,3.81958019436516e-12,7.310467567094621e-06,4.475096889749101e-12,8.658712736555336e-06,5.283047713564305e-07,8.40537610261693e-17,2.5548562085501807e-15,2.0632530046846964e-11,Financial Market Dynamics and Asset Pricing,868,Finance and innovation for the future of the economy
42,1.5515076706544234e-16,5.958605886904007e-19,1.6491721004883637e-05,5.302635523556243e-07,2.836099731564878e-07,2.7960099632932545e-06,3.487989703453626e-12,0.9999700599333337,2.3843822719882314e-12,2.689395857391087e-19,6.129700557719166e-20,5.116486563421537e-19,4.44298112022677e-12,1.1211007728635795e-14,1.2139280288323716e-28,4.823600411115234e-19,9.838451845998046e-06,Banking Sector and Intermediary Analysis,1329,Finance and innovation for the future of the economy
43,1.0418133364256619e-11,0.9999110685987886,6.14204453015305e-05,3.236639371341381e-07,8.314407288451255e-07,4.083140348525528e-07,1.9262733332720696e-18,2.7926905704088655e-07,5.201531481104895e-06,1.4601269026188815e-13,5.878521630880062e-13,6.566695681106385e-13,6.741778670044452e-06,2.199616290498729e-07,8.600072161713818e-23,1.1047769344989192e-07,1.3394506869093661e-05,Monetary Policy Analysis and Transmission,624,Finance and innovation for the future of the economy
44,6.897038042298989e-11,3.399715416547959e-07,2.120938446603011e-06,9.458949866860145e-08,5.0746601669839424e-18,1.5636064697610041e-29,5.038278157105598e-07,0.9999833903612658,8.865174892424786e-06,6.029692657905653e-08,1.5343154452873973e-26,6.325050748076658e-26,5.504168953456404e-07,1.5527428723851482e-20,9.545446097213519e-30,1.2752111844693451e-22,4.074353746814806e-06,Banking Sector and Intermediary Analysis,992,Finance and innovation for the future of the economy
45,6.195492553788037e-11,4.3650545894439814e-07,1.165578447575705e-05,1.5886541673833346e-07,6.765160245675385e-22,1.4410988625483329e-06,1.9544103000650517e-06,0.999923230167982,3.929016478168973e-05,6.481524707669819e-20,1.5982929789711482e-07,3.592284917886712e-07,3.448433521585632e-06,2.8096683521482265e-19,2.915416125159633e-23,3.320139644231199e-22,1.7865449456068757e-05,Banking Sector and Intermediary Analysis,655,Finance and innovation for the future of the economy
47,5.959810055974566e-11,0.9999590147993963,3.324906697894547e-05,1.5891655576977615e-07,7.917173681875638e-07,5.237533902067935e-16,1.143975465924322e-18,2.539736436539658e-07,2.129548563726891e-12,1.9317447004247506e-18,2.2768418544957717e-17,3.557878371805474e-22,6.069703881043941e-06,4.371709576886691e-07,3.0554825652898975e-29,2.457278767908764e-08,1.6702676866618627e-11,Monetary Policy Analysis and Transmission,333,Monetary policy and macroeconomic forecasts: the last fifty years
48,0.9999078152785468,1.9178405509661526e-05,2.056110542145177e-06,4.1042619889321014e-15,2.995277402687985e-17,1.2661486464490619e-15,5.330668333232809e-12,2.6533876338932536e-16,8.654111311275033e-17,7.979821160698522e-13,3.0842982664971306e-16,2.351240386304696e-16,1.3178718303742845e-11,1.3183915676344628e-06,5.317672300472815e-24,5.5492901816711873e-14,6.963179446498091e-05,Macroeconomic Forecasting and Cyclical Outlook,679,Monetary policy and macroeconomic forecasts: the last fifty years
49,0.9999143812426089,2.6646474437963477e-19,1.1381348320382468e-06,2.2796141551281635e-15,1.8061775757344709e-19,1.828213406775056e-14,3.838946568745931e-16,1.1762238625185016e-22,8.596234997989468e-23,3.4452003562980862e-18,1.5470247744810151e-18,2.5323154002390287e-16,1.1265321011966606e-16,3.165248608231915e-07,2.6668163497291183e-23,1.3385297755016603e-19,8.416409767712255e-05,Macroeconomic Forecasting and Cyclical Outlook,630,Monetary policy and macroeconomic forecasts: the last fifty years
50,0.9999979830500207,1.0108897040698581e-11,1.5550184510233176e-06,8.537824370015757e-10,3.896572873343106e-07,1.3180601023268686e-26,5.4084925614114116e-17,6.702948909426228e-16,5.0219165386112564e-20,1.0932781340641432e-15,3.703432950256238e-21,4.049251866509585e-21,1.0564195805389967e-08,1.310339608702068e-25,2.5836091218656966e-20,5.672046539983792e-18,6.084615184850731e-08,Macroeconomic Forecasting and Cyclical Outlook,317,Monetary policy and macroeconomic forecasts: the last fifty years
51,0.999965087188605,3.6244264296644976e-19,1.3327713903056414e-06,3.1555044528587815e-15,2.999998676423323e-17,9.310379052654526e-25,2.9513739669291992e-12,4.119671579439602e-18,1.6926571986526586e-20,5.991677919901595e-13,1.1094623888778426e-19,1.1933408130008542e-19,2.1171613754181074e-11,7.204615928324024e-23,1.7191317025279376e-17,3.266208294492848e-15,3.358001527592004e-05,Macroeconomic Forecasting and Cyclical Outlook,1295,Monetary policy and macroeconomic forecasts: the last fifty years
52,0.9999645000764051,4.509076090484432e-19,8.139362720038197e-10,4.38828569394624e-15,1.5791367578616627e-16,1.2794691185225798e-24,2.3526738478026985e-13,2.2514529290281427e-13,9.035899987705521e-20,4.3618225981236095e-13,5.517251328057764e-19,5.004035536243883e-19,2.0037413153013907e-11,6.541306739268524e-22,3.066985191427481e-17,5.172209898506046e-15,3.549908871470325e-05,Macroeconomic Forecasting and Cyclical Outlook,1097,Monetary policy and macroeconomic forecasts: the last fifty years
54,2.9584062719367417e-10,4.627639488891404e-16,3.9517573107841343e-05,1.0996003471269548e-05,2.7591449472857304e-07,0.9999360510607342,6.908047029818667e-12,2.697482727753614e-16,1.339330834697869e-20,5.521178140792693e-18,7.2480499686637315e-12,1.0900274075016965e-06,2.3333919379436707e-16,9.35766061851415e-17,6.004227415328909e-28,1.7001899884950978e-20,1.2069110786637885e-05,Industrial Organization and Regional Structure,262,Address by the Governor Fabio Panetta (only in italian)
55,1.1903346115320076e-06,1.885691938528179e-07,8.93656306549128e-06,1.7541265761888573e-11,0.9999707964986363,1.833173645354632e-05,2.365080950339844e-19,5.880140845259716e-11,1.286721185613456e-22,5.98425728862141e-13,5.662068130549993e-23,4.207528043437207e-23,5.562029937539098e-07,1.4639888317377215e-23,1.3371209730947143e-21,5.380325932738178e-22,1.8104213554452305e-11,Public Finance and Budgetary Policy,351,Address by the Governor Fabio Panetta (only in italian)
56,2.525956640324791e-06,5.601963804263222e-20,1.7208534398807404e-05,0.9999669118816565,6.359767881154137e-06,6.241881858011424e-06,4.2760551995497395e-20,2.8077862099339695e-11,1.4938920292613185e-25,5.940489072632587e-08,2.9475785214610227e-24,4.202449374371174e-24,6.319045246039253e-07,6.061616644826628e-08,6.032028133634296e-23,1.0043469549118797e-22,2.3905507386815794e-11,Human Capital and Education Economics,929,Address by the Governor Fabio Panetta (only in italian)
57,7.405892010440674e-07,5.018733280828853e-20,1.193499082805229e-05,0.9999873244015323,8.442806239660246e-13,1.6135216333420869e-12,1.0091242112764679e-20,9.438544309703368e-12,1.4845876247211083e-25,2.480972174304147e-19,1.8416767650315147e-25,4.572620555585784e-25,5.334037720683809e-13,1.00854142383756e-14,8.453136859859641e-24,4.499813423404512e-23,5.99890799048733e-12,Human Capital and Education Economics,680,Address by the Governor Fabio Panetta (only in italian)
59,0.00020342772856427914,2.0866661381922529e-19,3.4930220029901224e-07,2.8003661737273634e-07,6.549521325799845e-07,3.056950170735449e-07,2.552918844449139e-19,3.5836224918748527e-12,2.2213922954267716e-25,0.9996680179412123,0.00010066237935199466,5.189752258946161e-15,6.734368823922322e-07,1.0740917948019782e-19,2.612566740123854e-18,1.276799002477757e-16,2.5628524432760936e-05,Global Macroeconomics and Spillovers,1460,The Governor's Concluding Remarks for 2024
60,0.9999999989983843,2.2435673316723093e-11,2.0623187570591468e-11,2.476785455458194e-20,4.799699164043009e-23,1.5414319873390376e-19,4.332494732534099e-19,1.2610015847078353e-26,9.518455671271751e-23,6.139723963790247e-18,1.1506592991584878e-12,1.778844373292269e-12,2.451669451287592e-11,9.789630101432732e-12,1.5728457649906544e-22,1.2385806836189551e-19,9.213210230624668e-10,Macroeconomic Forecasting and Cyclical Outlook,835,The Governor's Concluding Remarks for 2024
61,4.140727655277005e-05,9.599092904314333e-13,6.00007129789647e-06,2.2318750078010795e-06,8.871492079664875e-07,0.9998641732318675,1.3227493212787214e-14,2.4518145187304924e-21,7.799144442766936e-20,2.3839535355574046e-07,5.100717180995598e-05,8.363805432668395e-08,3.974022431376347e-19,4.7843309179938863e-17,8.316368647675524e-17,1.6497337142386276e-15,3.397118987337434e-05,Industrial Organization and Regional Structure,1459,The Governor's Concluding Remarks for 2024
62,0.9988566082108759,2.600767195052619e-19,3.962613277851756e-09,7.46150669409164e-15,4.645164346991785e-06,3.306464751476467e-06,3.193716896496057e-18,1.1208010680669617e-26,2.954630848168101e-17,1.716700156818775e-12,2.7254050901793046e-18,8.167649559404847e-19,5.39650175729014e-06,4.56128228730526e-25,5.680939359833496e-17,2.9916940844846186e-15,0.00113003969392805,Macroeconomic Forecasting and Cyclical Outlook,1840,The Governor's Concluding Remarks for 2024
63,2.8542293217042985e-11,3.5629813304598403e-07,6.499320615711949e-06,1.5619122884328142e-07,6.288324761987267e-18,9.447908125334758e-30,2.7360260934362768e-12,0.9999846612687433,1.600141343797432e-12,8.427495245459628e-17,3.337356743277338e-20,3.0056695560622596e-25,1.1519791219483587e-06,7.6484485657703255e-25,4.0426575236220344e-19,3.3826969874065e-19,7.174909278600245e-06,Banking Sector and Intermediary Analysis,1823,The Governor's Concluding Remarks for 2024
64,0.0008426108818951105,1.4305161734897322e-18,1.4339174303990398e-06,1.05606436981532e-06,8.31922960115388e-07,8.45639828683924e-24,4.5944503376483184e-12,4.0321053992564936e-11,1.2446173770341e-19,0.9989420541800983,8.552727636911979e-05,2.9709225731666842e-08,1.8359635706303546e-06,5.2670472425195545e-20,2.7083123588435178e-17,3.486965447822454e-16,0.00012462003916493105,Global Macroeconomics and Spillovers,2869,The Governor's Concluding Remarks for 2024
65,0.00012922148120483894,3.4808829420185094e-20,2.0061170753255255e-11,2.5649885901935766e-07,1.6222613252277732e-07,1.6839353347411812e-15,1.9756445244474777e-18,2.798809456770772e-11,6.968226349936528e-27,3.5371382281164477e-06,9.005928093131506e-07,1.085807194657511e-14,1.1822506576465654e-24,1.2725205720582292e-25,5.681895536265839e-18,4.0233761666575495e-17,0.9998659220147045,None of the above,2184,The Governor's Concluding Remarks for 2024
67,9.622383244762057e-07,4.71727909333822e-17,3.968498256087375e-07,8.548294087563633e-08,6.64485839390063e-22,3.873924764375762e-26,5.05565031004113e-08,1.9971975125259866e-11,1.4410789689912032e-06,1.1153856868235611e-05,8.563351774003137e-08,0.9999714758553244,1.1965175334659778e-07,7.535958427064599e-24,4.660901689187137e-18,2.006356780097543e-15,1.4228775999000726e-05,International Cooperation and Financial Fora,698,Invisible yet essential: the contribution of cross-border payments to a better world and a safer financial system
68,7.947019358201144e-07,3.926878874671228e-16,1.123866072948749e-06,7.574898529639694e-07,3.616494819367717e-07,3.179311319755477e-06,1.0517787226596456e-12,6.0963863648231185e-12,2.9726349365720495e-16,2.1177418001867175e-12,7.870570521609624e-18,0.9999699921296051,3.892272845457032e-20,9.713236221294292e-15,1.3312212727452616e-17,2.307172381034232e-15,2.3790842452853735e-05,International Cooperation and Financial Fora,480,Invisible yet essential: the contribution of cross-border payments to a better world and a safer financial system
